[2026-01-17 21:30:15] LUT_lookup start: direction=forward, n_size=[1 1], value_size=[1 998]
[2026-01-17 21:30:15] LUT_lookup end.
[2026-01-24 23:23:43] LUT_lookup start: direction=inverse, n_size=[1201 4000], value_size=[1201 4000]
[2026-01-24 23:23:44] n=1: keep all 188166 values unchanged.
[2026-02-08 20:40:25] n=54: 319 below min->0, 0 above max->1, total=108754 (range=[0.1209, 1.0000]).
[2026-02-08 20:40:25] n=55: 309 below min->0, 0 above max->1, total=108424 (range=[0.1198, 1.0000]).
[2026-02-08 20:40:26] n=56: 311 below min->0, 0 above max->1, total=108271 (range=[0.1187, 1.0000]).
[2026-02-08 20:40:26] n=57: 298 below min->0, 0 above max->1, total=109069 (range=[0.1176, 1.0000]).
[2026-02-08 20:40:26] n=58: 275 below min->0, 0 above max->1, total=108694 (range=[0.1166, 1.0000]).
[2026-02-08 20:40:26] n=59: 283 below min->0, 0 above max->1, total=108608 (range=[0.1156, 1.0000]).
[2026-02-08 20:40:26] n=60: 274 below min->0, 0 above max->1, total=108579 (range=[0.1147, 1.0000]).
[2026-02-08 20:40:26] n=61: 243 below min->0, 0 above max->1, total=108540 (range=[0.1137, 1.0000]).
[2026-02-08 20:40:26] n=62: 259 below min->0, 0 above max->1, total=109235 (range=[0.1128, 1.0000]).
[2026-02-08 20:40:26] n=63: 236 below min->0, 0 above max->1, total=109120 (range=[0.1119, 1.0000]).
[2026-02-08 20:40:26] n=64: 240 below min->0, 0 above max->1, total=109649 (range=[0.1110, 1.0000]).
[2026-02-08 20:40:26] n=65: 255 below min->0, 0 above max->1, total=108696 (range=[0.1101, 1.0000]).
[2026-02-08 20:40:26] n=66: 222 below min->0, 0 above max->1, total=109068 (range=[0.1093, 1.0000]).
[2026-02-08 20:40:27] n=67: 236 below min->0, 0 above max->1, total=109924 (range=[0.1085, 1.0000]).
[2026-02-08 20:40:27] n=68: 208 below min->0, 0 above max->1, total=110432 (range=[0.1077, 1.0000]).
[2026-02-08 20:40:27] n=69: 207 below min->0, 0 above max->1, total=110301 (range=[0.1069, 1.0000]).
[2026-02-08 20:40:27] n=70: 232 below min->0, 0 above max->1, total=110555 (range=[0.1061, 1.0000]).
[2026-02-08 20:40:27] n=71: 238 below min->0, 0 above max->1, total=110501 (range=[0.1054, 1.0000]).
[2026-02-08 20:40:27] n=72: 205 below min->0, 0 above max->1, total=111433 (range=[0.1046, 1.0000]).
[2026-02-08 20:40:27] n=73: 205 below min->0, 0 above max->1, total=110854 (range=[0.1039, 1.0000]).
[2026-02-08 20:40:27] n=74: 195 below min->0, 0 above max->1, total=111504 (range=[0.1032, 1.0000]).
[2026-02-08 20:40:27] n=75: 223 below min->0, 0 above max->1, total=111292 (range=[0.1025, 1.0000]).
[2026-02-08 20:40:27] n=76: 214 below min->0, 0 above max->1, total=112008 (range=[0.1018, 1.0000]).
[2026-02-08 20:40:28] n=77: 210 below min->0, 0 above max->1, total=111396 (range=[0.1012, 1.0000]).
[2026-02-08 20:40:28] n=78: 203 below min->0, 0 above max->1, total=112300 (range=[0.1005, 1.0000]).
